entity_text,entity_normalized,entity_type,source_url,mention_count,example_sentence
1927,1927,DATE,https://www.britannica.com/art/Academy-Award,2,"When the Academy of Motion Picture Arts and Sciences was founded in 1927, the awards committee was only one of several that had been formed by the new organization"
1929,1929,DATE,https://www.britannica.com/art/Academy-Award,2,"The awards were first presented in 1929, and winners receive a gold-plated statuette commonly called Oscar"
1933,1933,DATE,https://www.britannica.com/art/Academy-Award,1,Among the most significant changes have been the decision in 1933 to alter the eligibility period for award consideration to the calendar year and the addition of the supporting actor and actress categories in 1936
1936,1936,DATE,https://www.britannica.com/art/Academy-Award,1,Among the most significant changes have been the decision in 1933 to alter the eligibility period for award consideration to the calendar year and the addition of the supporting actor and actress categories in 1936
1939,1939,DATE,https://www.britannica.com/art/Academy-Award,1,"However, the Los Angeles Times printed the names of the 1939 winners in an early evening edition before the ceremony, draining the event of all its suspense during one of the industry’s biggest years"
1944–46,1944–46,DATE,https://www.britannica.com/art/Academy-Award,1,"Previous venues for the ceremony have included Grauman’s Chinese Theatre on Hollywood Boulevard (1944–46), the Marquis Theater (1948), and the Los Angeles County Music Center (1969"
1945,1945,DATE,https://www.britannica.com/art/Academy-Award,1,"The design, however, has remained unchanged, with the exception of the pedestal base, the height of which was increased in 1945"
1948,1948,DATE,https://www.britannica.com/art/Academy-Award,1,"Previous venues for the ceremony have included Grauman’s Chinese Theatre on Hollywood Boulevard (1944–46), the Marquis Theater (1948), and the Los Angeles County Music Center (1969"
1950,1950,DATE,https://www.britannica.com/art/Academy-Award,1,"The previous record had been set by All About Eve (1950), which received 14 nominations"
1953,1953,DATE,https://www.britannica.com/art/Academy-Award,2,"The ceremony was first broadcast on television in 1953, and over the next decades rights to the telecast alternated between the networks NBC and ABC"
1969,1969,DATE,https://www.britannica.com/art/Academy-Award,2,"Previous venues for the ceremony have included Grauman’s Chinese Theatre on Hollywood Boulevard (1944–46), the Marquis Theater (1948), and the Los Angeles County Music Center (1969"
1976,1976,DATE,https://www.britannica.com/art/Academy-Award,1,The latter has been the broadcaster for the Oscars since 1976
